trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1812,False,"{'a': 0.4, 'e': 0.0940000000000547}",20,6,20.917427062131626,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1813,False,"{'a': 0.4, 'e': 0.0935000000000547}",20,9,19.475565269193716,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1814,False,"{'a': 0.4, 'e': 0.0930000000000547}",20,8,10.175466191730766,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1815,False,"{'a': 0.4, 'e': 0.0925000000000547}",20,7,26.92830265849674,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1816,False,"{'a': 0.4, 'e': 0.0920000000000547}",25,14,18.516607763908198,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1817,False,"{'a': 0.4, 'e': 0.0915000000000547}",25,9,25.016670650704214,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1818,False,"{'a': 0.4, 'e': 0.0910000000000547}",25,14,19.990278128962302,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1819,False,"{'a': 0.4, 'e': 0.0905000000000547}",25,11,24.932790562177438,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1820,False,"{'a': 0.4, 'e': 0.0900000000000547}",20,9,20.928476828950966,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1821,False,"{'a': 0.4, 'e': 0.0895000000000547}",25,14,22.54088477486804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1822,False,"{'a': 0.4, 'e': 0.0890000000000547}",25,18,13.542192276345771,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1823,False,"{'a': 0.4, 'e': 0.0885000000000547}",25,16,18.112593252827825,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1824,False,"{'a': 0.4, 'e': 0.0880000000000547}",25,0,22.493818835245754,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1825,False,"{'a': 0.4, 'e': 0.0875000000000547}",30,9,25.81475366224766,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
1826,False,"{'a': 0.4, 'e': 0.0870000000000547}",30,18,21.841194678431236,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1827,False,"{'a': 0.4, 'e': 0.0865000000000547}",20,12,15.529657585241578,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1828,False,"{'a': 0.4, 'e': 0.0860000000000547}",25,5,-30.87246890265576,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
1829,False,"{'a': 0.4, 'e': 0.0855000000000547}",20,12,14.663301536696508,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1830,False,"{'a': 0.4, 'e': 0.0850000000000547}",20,8,25.679201068108988,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1831,False,"{'a': 0.4, 'e': 0.0845000000000547}",30,15,19.444132241093538,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1832,False,"{'a': 0.4, 'e': 0.0840000000000547}",25,11,27.697902743672213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1833,False,"{'a': 0.4, 'e': 0.0835000000000547}",20,15,10.760636192237351,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1834,False,"{'a': 0.4, 'e': 0.0830000000000547}",20,12,12.468292788502161,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1835,False,"{'a': 0.4, 'e': 0.0825000000000547}",20,8,17.485751087205447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1836,False,"{'a': 0.4, 'e': 0.0820000000000547}",20,7,21.831229575831102,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1837,False,"{'a': 0.4, 'e': 0.0815000000000547}",35,20,21.384568846636206,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1838,False,"{'a': 0.4, 'e': 0.0810000000000547}",25,15,13.656659891626521,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1839,False,"{'a': 0.4, 'e': 0.0805000000000547}",30,20,6.551682645911681,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1840,False,"{'a': 0.4, 'e': 0.0800000000000547}",20,10,20.40107313647212,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1841,False,"{'a': 0.4, 'e': 0.0795000000000547}",20,12,13.715790533520035,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1842,False,"{'a': 0.4, 'e': 0.0790000000000547}",20,7,20.363971224126082,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1843,False,"{'a': 0.4, 'e': 0.07850000000005469}",20,0,24.12849254099488,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1844,False,"{'a': 0.4, 'e': 0.07800000000005469}",20,13,14.879252425304774,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1845,False,"{'a': 0.4, 'e': 0.07750000000005469}",25,13,-32.0719822712885,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1846,False,"{'a': 0.4, 'e': 0.07700000000005469}",25,18,11.106800990941242,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1847,False,"{'a': 0.4, 'e': 0.07650000000005469}",30,20,19.86068552686523,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1848,False,"{'a': 0.4, 'e': 0.07600000000005469}",30,20,21.998739847237896,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1849,False,"{'a': 0.4, 'e': 0.07550000000005469}",20,8,13.246623336056064,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1850,False,"{'a': 0.4, 'e': 0.07500000000005469}",20,16,6.917859189904579,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1851,False,"{'a': 0.4, 'e': 0.07450000000005469}",30,18,12.301812921445098,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1852,False,"{'a': 0.4, 'e': 0.07400000000005469}",20,16,9.424772493860214,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1853,False,"{'a': 0.4, 'e': 0.07350000000005469}",25,20,9.944128434853797,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1854,False,"{'a': 0.4, 'e': 0.07300000000005469}",30,16,-14.34596105400075,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1855,False,"{'a': 0.4, 'e': 0.07250000000005469}",25,7,20.144995200347545,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1856,False,"{'a': 0.4, 'e': 0.07200000000005469}",20,16,8.846899461959481,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1857,False,"{'a': 0.4, 'e': 0.07150000000005469}",25,7,35.1051700159266,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1858,False,"{'a': 0.4, 'e': 0.07100000000005469}",20,15,7.646322609397891,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1859,False,"{'a': 0.4, 'e': 0.07050000000005469}",25,17,17.935774206270075,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1860,False,"{'a': 0.4, 'e': 0.07000000000005469}",20,6,14.201442995623703,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1861,False,"{'a': 0.4, 'e': 0.06950000000005468}",20,8,-20.154489838775582,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1862,False,"{'a': 0.4, 'e': 0.06900000000005468}",25,20,10.204863789918353,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1863,False,"{'a': 0.4, 'e': 0.06850000000005468}",30,11,34.842462461095494,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1864,False,"{'a': 0.4, 'e': 0.06800000000005468}",20,9,22.198458387259247,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1865,False,"{'a': 0.4, 'e': 0.06750000000005468}",20,14,9.761730917762193,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1866,False,"{'a': 0.4, 'e': 0.06700000000005468}",30,16,18.092868724716816,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1867,False,"{'a': 0.4, 'e': 0.06650000000005468}",25,14,21.43063342413203,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1868,False,"{'a': 0.4, 'e': 0.06600000000005468}",30,18,23.253015884442505,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1869,False,"{'a': 0.4, 'e': 0.06550000000005468}",20,2,5.644412494252586,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
1870,False,"{'a': 0.4, 'e': 0.06500000000005468}",20,0,30.157369613671356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1871,False,"{'a': 0.4, 'e': 0.06450000000005468}",20,8,20.622659329161785,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1872,False,"{'a': 0.4, 'e': 0.06400000000005468}",20,6,-27.64845419395244,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1873,False,"{'a': 0.4, 'e': 0.06350000000005468}",25,20,10.4580146206915,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1874,False,"{'a': 0.4, 'e': 0.06300000000005468}",25,16,15.27083751628411,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1875,False,"{'a': 0.4, 'e': 0.06250000000005468}",25,17,16.791969476763953,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1876,False,"{'a': 0.4, 'e': 0.06200000000005468}",20,16,8.133687743773441,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1877,False,"{'a': 0.4, 'e': 0.06150000000005468}",25,17,13.548934765121285,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1878,False,"{'a': 0.4, 'e': 0.06100000000005468}",20,14,10.419026714108622,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1879,False,"{'a': 0.4, 'e': 0.06050000000005468}",25,20,10.10000000342344,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1880,False,"{'a': 0.4, 'e': 0.060000000000054676}",20,9,1.5820685489988815,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1881,False,"{'a': 0.4, 'e': 0.059500000000054676}",20,12,14.736057913178255,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1882,False,"{'a': 0.4, 'e': 0.059000000000054675}",20,15,10.507142616395221,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1883,False,"{'a': 0.4, 'e': 0.058500000000054675}",20,13,17.71933503015855,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1884,False,"{'a': 0.4, 'e': 0.058000000000054674}",30,13,32.98975256514692,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1885,False,"{'a': 0.4, 'e': 0.057500000000054674}",30,15,25.839082800510784,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
